iter	CrossEntropy	Accuracy
0	0.6527942924	0.7751503759
1	0.6179693786	0.7929887218
2	0.5884366958	0.7948120301
3	0.5624131398	0.7901879699
4	0.5412633234	0.7921240602
5	0.5224978676	0.7953947368
6	0.5066839919	0.7977443609
7	0.4922187471	0.7965225564
8	0.4809954525	0.7957330827
9	0.4709750824	0.7978383459
10	0.4622661794	0.7973308271
11	0.4568587644	0.7959210526
12	0.4519304319	0.7961466165
13	0.4459154613	0.7964473684
14	0.4405364046	0.7963909774
15	0.4358721623	0.7964285714
16	0.4323383428	0.7977631579
17	0.4292540558	0.7978383459
18	0.4254864273	0.7979323308
19	0.4224096818	0.797424812
20	0.4203035608	0.7976691729
21	0.4184417785	0.7985714286
22	0.4164273518	0.7991165414
23	0.4144243386	0.8005451128
24	0.4127474782	0.802575188
25	0.4111421836	0.802593985
26	0.4088042895	0.802593985
27	0.4073848772	0.8036090226
28	0.4059170525	0.8047368421
29	0.404132327	0.8042669173
30	0.4029898176	0.8039661654
31	0.4012697565	0.8046616541
32	0.3998286924	0.8045112782
33	0.3988822716	0.8042857143
34	0.3980829781	0.805018797
35	0.3969412933	0.8053759398
36	0.3962052339	0.8057330827
37	0.3954789566	0.8059398496
38	0.3944882015	0.8061278195
39	0.3938667228	0.8064097744
40	0.3929223968	0.8064473684
41	0.3922825648	0.8063345865
42	0.3915175244	0.8064849624
43	0.3908436027	0.8063909774
44	0.3898941202	0.8063909774
45	0.3891556653	0.8065413534
46	0.3884540142	0.8071992481
47	0.3878542732	0.807424812
48	0.3872141695	0.8076691729
49	0.3866995423	0.8071992481
50	0.3856040146	0.807387218
51	0.3850246411	0.8080075188
52	0.3842303728	0.8084586466
53	0.3835909098	0.8084210526
54	0.38326579	0.8082894737
55	0.3825561878	0.8089473684
56	0.3821820609	0.8093609023
57	0.3816432513	0.8093233083
58	0.3811537131	0.810112782
59	0.3807884219	0.810056391
60	0.3801251978	0.810112782
61	0.3795785988	0.809906015
62	0.3789790526	0.8102819549
63	0.3786051965	0.8106203008
64	0.3782179443	0.8107706767
65	0.3778830055	0.8111090226
66	0.377390129	0.8113721805
67	0.3771436981	0.8112781955
68	0.3768017437	0.8112781955
69	0.3765832371	0.8112030075
70	0.3761258982	0.8116165414
71	0.3757018027	0.8117105263
72	0.3753939014	0.8115789474
73	0.375074849	0.8115977444
74	0.3748474231	0.8114661654
75	0.3745807503	0.8115225564
76	0.3742074805	0.8113533835
77	0.3739765153	0.8114285714
78	0.3738228756	0.8117105263
79	0.3734998542	0.8116353383
80	0.3733212144	0.8117481203
81	0.3731420043	0.8117293233
82	0.3727537932	0.8119548872
83	0.3725215002	0.8119360902
84	0.372168599	0.8121428571
85	0.3719118155	0.8121240602
86	0.371726541	0.812481203
87	0.3714639454	0.812518797
88	0.3712332225	0.8126503759
89	0.3710356521	0.812575188
90	0.3708704257	0.812575188
91	0.3707250464	0.8125
92	0.3704830522	0.8128571429
93	0.3704123165	0.8127819549
94	0.3702801871	0.8130263158
95	0.3701325102	0.8127255639
96	0.3699386417	0.8128383459
97	0.3697478999	0.8130827068
98	0.3694981002	0.8132894737
99	0.3692200789	0.8131766917
100	0.3690831255	0.8129887218
101	0.3689682345	0.8129887218
102	0.3688770196	0.8130639098
103	0.3686637346	0.8130075188
104	0.3685407049	0.8132142857
105	0.3684418021	0.8131203008
106	0.3682534763	0.8131766917
107	0.3681583184	0.8132706767
108	0.3679979103	0.8133834586
109	0.3678870142	0.8135338346
110	0.3676912326	0.8136466165
111	0.3675786555	0.8135714286
112	0.3674478019	0.8137218045
113	0.3673672314	0.8136278195
114	0.3672696261	0.8139285714
115	0.3671358883	0.8138909774
116	0.3669837779	0.8138909774
117	0.3668906987	0.8139097744
118	0.3668044861	0.8139849624
119	0.3667039198	0.8137969925
120	0.3666041131	0.8140601504
121	0.3664943652	0.8141353383
122	0.3663830239	0.8141729323
123	0.3663302786	0.8144360902
124	0.3662541001	0.8143796992
125	0.3661396934	0.8142105263
126	0.3660358118	0.8143609023
127	0.3659894839	0.8143984962
128	0.3659211902	0.8143796992
129	0.3658621944	0.8144360902
130	0.3657969131	0.8143609023
131	0.3656896263	0.8143609023
132	0.3656314765	0.8143609023
133	0.3655586517	0.8142669173
134	0.3654995236	0.8142481203
135	0.3654655721	0.8143045113
136	0.3653782931	0.8140789474
137	0.3653262623	0.8142669173
138	0.3651337292	0.8143233083
139	0.3650788787	0.8143609023
140	0.364933604	0.8143233083
141	0.3648539867	0.8143233083
142	0.3648212688	0.8142481203
143	0.3647068902	0.8142669173
144	0.3646155734	0.8144172932
145	0.3645368824	0.8143796992
146	0.3644695675	0.8145488722
147	0.3643779292	0.8145864662
148	0.3643276164	0.8145488722
149	0.3642338971	0.8146804511
150	0.364211405	0.8147180451
151	0.3641376166	0.8146804511
152	0.3641152318	0.8146804511
153	0.3640809153	0.8146052632
154	0.3640334713	0.8145300752
155	0.3639718822	0.8145864662
156	0.3639019667	0.8144172932
157	0.3638668585	0.8143796992
158	0.3638384286	0.8144548872
159	0.3637711505	0.8144548872
160	0.3637175418	0.8145112782
161	0.3636667344	0.8146052632
162	0.3636305235	0.8145488722
163	0.3635825713	0.8144924812
164	0.3635301722	0.8145300752
165	0.363504935	0.8144172932
166	0.3634666253	0.8147368421
167	0.3634285689	0.8147556391
168	0.3632940169	0.8146804511
169	0.3632375152	0.8147180451
170	0.3631591938	0.8146992481
171	0.3630942569	0.8146616541
172	0.362974702	0.8146616541
173	0.3629275933	0.8148120301
174	0.3628972949	0.8147744361
175	0.3628421573	0.8146804511
176	0.3627931533	0.8147932331
177	0.3627197075	0.8148684211
178	0.3626819054	0.814906015
179	0.3626292556	0.8148120301
180	0.3625696561	0.814906015
181	0.3624357901	0.8148308271
182	0.3624014115	0.8147744361
183	0.3623563964	0.8147368421
184	0.3622543395	0.8147180451
185	0.3622090108	0.8147368421
186	0.36218014	0.8146992481
187	0.3621542701	0.8147368421
188	0.3620736473	0.8147556391
189	0.3620466602	0.8148120301
190	0.362021235	0.8147744361
191	0.3620161027	0.8147932331
192	0.3619293294	0.8148120301
193	0.3618719389	0.815056391
194	0.3618544301	0.815
195	0.3618275953	0.814887218
196	0.3617654034	0.815037594
197	0.3617642459	0.815037594
198	0.361729846	0.815018797
199	0.3616760395	0.815037594
200	0.3616394802	0.815056391
201	0.3616230904	0.815018797
202	0.3615843145	0.8151315789
203	0.3615468012	0.815
204	0.3614945335	0.8151315789
205	0.3614411166	0.8151315789
206	0.361409059	0.8151315789
207	0.3613857033	0.8151879699
208	0.3613349419	0.8152819549
209	0.3613182303	0.8153759398
210	0.3612854679	0.8153195489
211	0.3612259752	0.8154511278
212	0.361173717	0.8154511278
213	0.3611488659	0.8153571429
214	0.3610785105	0.8154887218
215	0.3610444271	0.8155451128
216	0.3610060879	0.8155263158
217	0.3609333543	0.8156015038
218	0.3608898955	0.8156015038
219	0.3608764029	0.8155263158
220	0.3608257528	0.8155451128
221	0.3607944974	0.8155827068
222	0.3607730704	0.8155639098
223	0.3607294835	0.8156578947
224	0.360709676	0.8156766917
225	0.3606724332	0.8156390977
226	0.3606275459	0.8156390977
227	0.3605969105	0.8156203008
228	0.3605728885	0.8155827068
229	0.3605418157	0.8156954887
230	0.360475119	0.8156954887
231	0.3604519295	0.8158646617
232	0.3604242395	0.8158082707
233	0.3603770646	0.8159774436
234	0.360342595	0.8159962406
235	0.3603385651	0.8159774436
236	0.3603068793	0.8160338346
237	0.3602838539	0.8160338346
238	0.3602469098	0.8161090226
239	0.3601907096	0.8161842105
240	0.3601607352	0.8161654135
241	0.3601595033	0.8162218045
242	0.3601470433	0.8161842105
243	0.3601118012	0.8160338346
244	0.3600889792	0.8160714286
245	0.3600595014	0.8161090226
246	0.3600276252	0.8162030075
247	0.3600028882	0.8162593985
248	0.3599587772	0.8163157895
249	0.3599472103	0.8162781955
250	0.3599289275	0.8163721805
251	0.3599239117	0.8163533835
252	0.3598864555	0.8163721805
253	0.3598446457	0.8163721805
254	0.3598144681	0.8163721805
255	0.3597774556	0.8164661654
256	0.3597476211	0.8164849624
257	0.3597217413	0.8163721805
258	0.3596854237	0.8164473684
259	0.3596548714	0.8164473684
260	0.3596201688	0.8164473684
261	0.3595803465	0.8165037594
262	0.3595519157	0.8164849624
263	0.3595307111	0.8164097744
264	0.3595075065	0.8163909774
265	0.3594691329	0.8164285714
266	0.3594349567	0.8165413534
267	0.3594077735	0.8166541353
268	0.3593976347	0.8165413534
269	0.3593689232	0.8165977444
270	0.3593654029	0.8166353383
271	0.3593406922	0.8167857143
272	0.3592946168	0.8167857143
273	0.3592633832	0.8168609023
274	0.3592376475	0.8167669173
275	0.3592145085	0.8168421053
276	0.3591613574	0.8167481203
277	0.3591165257	0.8168609023
278	0.3590900889	0.8167481203
279	0.3590574616	0.8168045113
280	0.3590544945	0.8168609023
281	0.3590291754	0.8167669173
282	0.358996133	0.8167669173
283	0.3589471365	0.8168233083
284	0.3589171918	0.8168609023
285	0.3589048137	0.8168421053
286	0.3588676073	0.8169548872
287	0.3588413545	0.8171428571
288	0.3587944613	0.8170112782
289	0.3587576609	0.8170864662
290	0.3587027479	0.8171240602
291	0.3586492463	0.8171616541
292	0.3586125284	0.8172932331
293	0.3586015304	0.8172932331
294	0.3585794769	0.8172744361
295	0.3585505912	0.8171616541
296	0.3585307856	0.8171428571
297	0.3584970266	0.8171052632
298	0.3584712096	0.8171616541
299	0.3584422002	0.8171052632
300	0.3583905749	0.8172180451
301	0.3583753869	0.8172556391
302	0.3583414726	0.8173684211
303	0.3583251091	0.8173308271
304	0.3583020685	0.8172556391
305	0.3582959647	0.8173496241
306	0.3582796345	0.8173120301
307	0.358244125	0.8173120301
308	0.3582222729	0.8173496241
309	0.3582059941	0.817481203
310	0.3581934453	0.817424812
311	0.3581735709	0.817387218
312	0.3581345532	0.817537594
313	0.3580938626	0.817556391
314	0.3580680828	0.817481203
315	0.3580091136	0.817575188
316	0.3579853278	0.817612782
317	0.3579581505	0.8176691729
318	0.3579246981	0.8176879699
319	0.3579082772	0.8177255639
320	0.3578871444	0.8177443609
321	0.3578663455	0.8177631579
322	0.3578339214	0.8178007519
323	0.3578122868	0.8177631579
324	0.357784075	0.8177067669
325	0.357763353	0.8178007519
326	0.3577133014	0.8177631579
327	0.357679792	0.8178007519
328	0.3576333919	0.8178007519
329	0.3576141837	0.8178383459
330	0.3575946536	0.8178383459
331	0.3575705984	0.8179511278
332	0.3575445906	0.8179511278
333	0.3575272051	0.8178195489
334	0.3574923871	0.8179511278
335	0.3574693691	0.8179699248
336	0.3574368684	0.8180075188
337	0.3574157136	0.8179887218
338	0.3573993926	0.8180639098
339	0.3573571607	0.8180827068
340	0.357317772	0.8181203008
341	0.3572977036	0.8181766917
342	0.3572689842	0.8182330827
343	0.3572458717	0.8182142857
344	0.3572242293	0.8182142857
345	0.3571928637	0.8181390977
346	0.3571745206	0.8181015038
347	0.3571594402	0.8181203008
348	0.3571322438	0.8180075188
349	0.3571006343	0.8179887218
350	0.3570679749	0.8179887218
351	0.357029372	0.8180075188
352	0.3570049657	0.8179887218
353	0.3569884576	0.8180263158
354	0.3569590911	0.8180263158
355	0.3569363338	0.8179699248
356	0.3568965839	0.8180639098
357	0.3568452809	0.8180263158
358	0.3568059923	0.8180451128
359	0.3567833994	0.8180075188
360	0.3567643177	0.8180075188
361	0.3567361287	0.8179887218
362	0.3566992878	0.8181015038
363	0.3566751728	0.8181203008
364	0.3566372432	0.8181954887
365	0.3566133849	0.8181203008
366	0.3565679988	0.8182330827
367	0.3565537455	0.8182142857
368	0.3565215561	0.8183270677
369	0.3565096842	0.8183834586
370	0.3564831738	0.8184586466
371	0.3564363734	0.8185338346
372	0.3564084581	0.8186090226
373	0.3563824554	0.8185714286
374	0.3563386142	0.8187406015
375	0.3563138897	0.8187406015
376	0.3562893969	0.8187969925
377	0.3562553772	0.8188157895
378	0.3562206707	0.8188909774
379	0.3561864531	0.8187593985
380	0.3561461885	0.8189285714
381	0.3560976995	0.8189473684
382	0.3560683661	0.8190037594
383	0.3560528543	0.8190225564
384	0.3560173978	0.8189285714
385	0.3559766449	0.8189285714
386	0.3559400696	0.8189285714
387	0.3559017326	0.8189473684
388	0.3558728792	0.8189661654
389	0.3558493022	0.8190037594
390	0.3558238436	0.8190601504
391	0.3557840401	0.8191353383
392	0.3557412768	0.8190601504
393	0.3557183945	0.8190977444
394	0.355686568	0.8190225564
395	0.3556461058	0.8189661654
396	0.355615842	0.8190977444
397	0.3555844217	0.8192105263
398	0.3555618914	0.8192105263
399	0.3555385636	0.8192105263
400	0.3555088593	0.8191729323
401	0.3554722739	0.8191917293
402	0.3554389493	0.8192857143
403	0.3554035505	0.8193421053
404	0.3553665462	0.8194172932
405	0.3553271281	0.8194736842
406	0.3552905364	0.8194548872
407	0.3552584756	0.8194548872
408	0.355216952	0.8196428571
409	0.3551986157	0.8195864662
410	0.3551656147	0.8196616541
411	0.3551474763	0.8196804511
412	0.3551210353	0.8195676692
413	0.3550837643	0.8196240602
414	0.3550455235	0.8196804511
415	0.3550210228	0.8197368421
416	0.3549832209	0.8198308271
417	0.3549493924	0.8198496241
418	0.3549152529	0.8198496241
419	0.3548791251	0.819906015
420	0.3548588244	0.819906015
421	0.354823947	0.8198308271
422	0.3547998562	0.8198684211
423	0.354760007	0.819924812
424	0.3547246452	0.819962406
425	0.3547031177	0.819943609
426	0.3546775488	0.819981203
427	0.3546514598	0.819981203
428	0.3546217092	0.820018797
429	0.3545939919	0.820018797
430	0.3545603503	0.820112782
431	0.354540569	0.8201879699
432	0.3545091177	0.8203195489
433	0.3544742086	0.8202819549
434	0.3544390489	0.8203759398
435	0.3544147898	0.8204887218
436	0.3543816824	0.8205263158
437	0.3543489264	0.8204699248
438	0.3543255278	0.8205075188
439	0.3542991794	0.8205451128
440	0.3542701084	0.8205639098
441	0.3542379224	0.8205639098
442	0.3541994284	0.8206015038
443	0.3541658058	0.8206015038
444	0.3541395731	0.8207142857
445	0.3541116356	0.8207330827
446	0.3540812857	0.8208458647
447	0.3540490449	0.8208834586
448	0.3540159747	0.8208646617
449	0.3540002318	0.8209210526
450	0.3539684687	0.8209398496
451	0.3539399778	0.8209586466
452	0.353909788	0.8209774436
453	0.3538745513	0.8209586466
454	0.353851853	0.8210526316
455	0.3538269342	0.8210526316
456	0.3537983704	0.8211654135
457	0.35376778	0.8211466165
458	0.353736944	0.8211466165
459	0.3537064394	0.8211842105
460	0.353677945	0.8212406015
461	0.353646603	0.8212969925
462	0.3536166598	0.8212218045
463	0.3535799373	0.8212030075
464	0.3535526583	0.8213157895
465	0.3535257355	0.8213157895
466	0.3534881681	0.8213157895
467	0.3534646203	0.8213533835
468	0.3534431342	0.8212406015
469	0.3534104539	0.8212593985
470	0.3533810857	0.8212218045
471	0.3533378073	0.8211278195
472	0.3533137726	0.8210902256
473	0.3532851673	0.8210526316
474	0.3532681546	0.8210526316
475	0.3532413701	0.8211654135
476	0.3532154658	0.8212218045
477	0.3531878964	0.8212030075
478	0.3531645161	0.8210714286
479	0.3531365054	0.8211090226
480	0.3531152584	0.8210902256
481	0.353087685	0.8210526316
482	0.3530748574	0.8210902256
483	0.3530447174	0.8210714286
484	0.3530204295	0.8210714286
485	0.3529929993	0.8211090226
486	0.352967593	0.8211090226
487	0.3529338195	0.8211278195
488	0.3529059854	0.8211842105
489	0.3528914138	0.8211654135
490	0.352856537	0.8211466165
491	0.3528266638	0.8209774436
492	0.3528044833	0.8209774436
493	0.3527752937	0.8209586466
494	0.3527456273	0.8209586466
495	0.3527210135	0.8209774436
496	0.3526820528	0.8211278195
497	0.3526541018	0.8211842105
498	0.3526221485	0.8212030075
499	0.3525959424	0.8212030075
500	0.3525710466	0.8212030075
